,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,qcnoyytlFIuqlcjDXkXJiw,starbucks-brooklyn-21,Starbucks,https://s3-media2.fl.yelpcdn.com/bphoto/rvbmfbKSWW4G4RmDu018hA/o.jpg,False,https://www.yelp.com/biz/starbucks-brooklyn-21?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,80,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,"{'latitude': 40.70275444, 'longitude': -73.99088374}",['delivery'],$$,"{'address1': '67 Main St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['67 Main St', 'Brooklyn, NY 11201']}",+17188550856,(718) 855-0856,414.84680219460824
1,60agfQbky4cX8BEApyltIA,starbucks-new-york-524,Starbucks,https://s3-media4.fl.yelpcdn.com/bphoto/ZM_sCPU1miFXbZGba1lX6g/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-524?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,36,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'latitude': 40.71102, 'longitude': -74.00091}",['delivery'],$,"{'address1': '375 Pearl St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['375 Pearl St', 'New York, NY 10038']}",+16466999983,(646) 699-9983,833.8892691487212
2,Y_kNzTJJUx9aFj1t_DVWkA,starbucks-surrey-6,Starbucks,,False,https://www.yelp.com/biz/starbucks-surrey-6?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,"{'latitude': 49.1186981201172, 'longitude': -122.895721435547}",[],$,"{'address1': '199 Water Street', 'address2': '', 'address3': '', 'city': 'Surrey', 'zip_code': 'V4E 3E4', 'country': 'CA', 'state': 'BC', 'display_address': ['199 Water Street', 'Surrey, BC V4E 3E4', 'Canada']}",,,876.3412556992182
3,C0EKm9V9QI2R47QkRWA5aQ,starbucks-new-york-290,Starbucks,https://s3-media3.fl.yelpcdn.com/bphoto/Rvok-BWGjIGY-rMSQofYPA/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-290?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,44,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.0,"{'latitude': 40.7049014, 'longitude': -74.0072444}",[],$,"{'address1': '99 Wall St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['99 Wall St', 'New York, NY 10005']}",+19299551841,(929) 955-1841,1093.3792831626963
4,OuNYQaqEJjkBHRdnC-4HOw,starbucks-new-york-381,Starbucks,https://s3-media2.fl.yelpcdn.com/bphoto/SV8ynJOzOiauQngcqnv_uA/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-381?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,40,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,"{'latitude': 40.708413, 'longitude': -74.007387}",['delivery'],$$,"{'address1': '100 William St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['100 William St', 'New York, NY 10038']}",+12125099709,(212) 509-9709,1151.9892739272943
5,mEMPhPK6dSgy5eXS-kYHLg,starbucks-brooklyn-17,Starbucks,https://s3-media4.fl.yelpcdn.com/bphoto/IsyCZQAKUcrliFuzXo_TXQ/o.jpg,False,https://www.yelp.com/biz/starbucks-brooklyn-17?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,69,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.0,"{'latitude': 40.694582, 'longitude': -73.993978}",['delivery'],$$,"{'address1': '134 Montague St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['134 Montague St', 'Brooklyn, NY 11201']}",+17182430455,(718) 243-0455,1208.1863276973506
6,t03ZbaLQP3MrMuUGb6MQdw,starbucks-new-york-506,Starbucks,https://s3-media3.fl.yelpcdn.com/bphoto/XApF9Rx6XxdP-j0cI2NGxA/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-506?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,53,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'latitude': 40.704653, 'longitude': -74.009001}",['delivery'],$$,"{'address1': '110 Pearl St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10005', 'country': 'US', 'state': 'NY', 'display_address': ['110 Pearl St', 'New York, NY 10005']}",+12124826530,(212) 482-6530,1242.9041057457455
7,pTv4RDll3N_CGG3BwtEctg,starbucks-new-york-395,Starbucks,https://s3-media1.fl.yelpcdn.com/bphoto/ClYnav-_Uu7IPU0Qa9LUJA/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-395?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,59,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.0,"{'latitude': 40.71168566, 'longitude': -74.00666918}",['delivery'],$,"{'address1': '38 Park Row', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['38 Park Row', 'New York, NY 10038']}",+12126088073,(212) 608-8073,1252.8991463352156
8,j6nTfbYavGVsJKxz6bte6w,starbucks-new-york-214,Starbucks,https://s3-media3.fl.yelpcdn.com/bphoto/MdLapQsqNZ8AUIGtHPNfXg/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-214?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,61,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",3.5,"{'latitude': 40.71022348, 'longitude': -74.00797242}",['delivery'],$,"{'address1': '130 Fulton St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10038', 'country': 'US', 'state': 'NY', 'display_address': ['130 Fulton St', 'New York, NY 10038']}",+12129620439,(212) 962-0439,1269.5739460740995
9,XzAZVxmGPcysK8hYdcAJKA,starbucks-new-york-229,Starbucks,https://s3-media2.fl.yelpcdn.com/bphoto/ms4p2KBJbQg1xn4TT8aOmQ/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-229?adjust_creative=0wbs0iSeYd0wJkiEuTz28g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0wbs0iSeYd0wJkiEuTz28g,53,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,"{'latitude': 40.71588714, 'longitude': -74.00314073}",['delivery'],$$,"{'address1': '111 Worth St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['111 Worth St', 'New York, NY 10013']}",+12129648846,(212) 964-8846,1379.9749733706979
