id,name,review_count,rating,price,price_point,display_phone,url,image_url,address1,address2,address3,city,state,zip,country,latitude,longitude
qcnoyytlFIuqlcjDXkXJiw,Starbucks,80,2.5,$$,2,(718) 855-0856,https://www.yelp.com/biz/starbucks-brooklyn-21?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media2.fl.yelpcdn.com/bphoto/rvbmfbKSWW4G4RmDu018hA/o.jpg,67 Main St,,,Brooklyn,NY,11201,US,40.70275444,-73.99088374
60agfQbky4cX8BEApyltIA,Starbucks,36,2.0,$,1,(646) 699-9983,https://www.yelp.com/biz/starbucks-new-york-524?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media4.fl.yelpcdn.com/bphoto/ZM_sCPU1miFXbZGba1lX6g/o.jpg,375 Pearl St,,,New York,NY,10038,US,40.71102,-74.00091
C0EKm9V9QI2R47QkRWA5aQ,Starbucks,44,3.0,$,1,(929) 955-1841,https://www.yelp.com/biz/starbucks-new-york-290?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media3.fl.yelpcdn.com/bphoto/Rvok-BWGjIGY-rMSQofYPA/o.jpg,99 Wall St,,,New York,NY,10005,US,40.7049014,-74.0072444
OuNYQaqEJjkBHRdnC-4HOw,Starbucks,40,2.5,$$,2,(212) 509-9709,https://www.yelp.com/biz/starbucks-new-york-381?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media2.fl.yelpcdn.com/bphoto/SV8ynJOzOiauQngcqnv_uA/o.jpg,100 William St,,,New York,NY,10038,US,40.708413,-74.007387
mEMPhPK6dSgy5eXS-kYHLg,Starbucks,68,3.0,$$,2,(718) 243-0455,https://www.yelp.com/biz/starbucks-brooklyn-17?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media4.fl.yelpcdn.com/bphoto/IsyCZQAKUcrliFuzXo_TXQ/o.jpg,134 Montague St,,,Brooklyn,NY,11201,US,40.694582,-73.993978
t03ZbaLQP3MrMuUGb6MQdw,Starbucks,53,2.0,$$,2,(212) 482-6530,https://www.yelp.com/biz/starbucks-new-york-506?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media3.fl.yelpcdn.com/bphoto/XApF9Rx6XxdP-j0cI2NGxA/o.jpg,110 Pearl St,,,New York,NY,10005,US,40.704653,-74.009001
pTv4RDll3N_CGG3BwtEctg,Starbucks,59,3.0,$,1,(212) 608-8073,https://www.yelp.com/biz/starbucks-new-york-395?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media1.fl.yelpcdn.com/bphoto/ClYnav-_Uu7IPU0Qa9LUJA/o.jpg,38 Park Row,,,New York,NY,10038,US,40.71168566,-74.00666918
j6nTfbYavGVsJKxz6bte6w,Starbucks,61,3.5,$,1,(212) 962-0439,https://www.yelp.com/biz/starbucks-new-york-214?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media3.fl.yelpcdn.com/bphoto/MdLapQsqNZ8AUIGtHPNfXg/o.jpg,130 Fulton St,,,New York,NY,10038,US,40.71022348,-74.00797242
XzAZVxmGPcysK8hYdcAJKA,Starbucks,54,2.5,$$,2,(212) 964-8846,https://www.yelp.com/biz/starbucks-new-york-229?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media2.fl.yelpcdn.com/bphoto/ms4p2KBJbQg1xn4TT8aOmQ/o.jpg,111 Worth St,,,New York,NY,10013,US,40.71588714,-74.00314073
4jWEL2gMhfwfzej0rfgJiQ,Starbucks,55,2.0,$,1,(212) 619-1529,https://www.yelp.com/biz/starbucks-new-york-264?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media3.fl.yelpcdn.com/bphoto/aSBKV7Z1FuT1nV6qgxQUFw/o.jpg,233 Broadway,,,New York,NY,10279,US,40.71222829959837,-74.00820580822274
E6h-sMLmF86cuituw5zYxw,Starbucks,148,2.5,$$,2,(718) 522-2396,https://www.yelp.com/biz/starbucks-brooklyn-6?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media2.fl.yelpcdn.com/bphoto/nNxnfD06ZVax3GhVNhVmMg/o.jpg,6 MetroTech Ctr,Poly Tech Institute,,Brooklyn,NY,11201,US,40.694047,-73.9867893
Ftrk-Rx1i3okzxnQNuLcnw,Starbucks,95,2.5,$$,2,(212) 742-2490,https://www.yelp.com/biz/starbucks-new-york-143?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media3.fl.yelpcdn.com/bphoto/iaVlBYYkRx4DIh5pPI__iQ/o.jpg,55 Broad St,,,New York,NY,10004,US,40.70520877,-74.01128172
bbVBza8jlZoVi1meNZbbxw,Starbucks,2,5.0,,0,(347) 305-1487,https://www.yelp.com/biz/starbucks-brooklyn-92?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media4.fl.yelpcdn.com/bphoto/0B7AqzK631mxf1fl-wM47A/o.jpg,3 Flushing Ave,,,Brooklyn,NY,11205,US,40.69845185950864,-73.97971609999999
V05D4jAQb3rT3WqEBGq-og,Starbucks,74,2.0,$$,2,(212) 406-5315,https://www.yelp.com/biz/starbucks-new-york-131?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media3.fl.yelpcdn.com/bphoto/YL8s3UMYWXYpJ1_UFE0q-A/o.jpg,291 Broadway,,,New York,NY,10007,US,40.71504153,-74.00602938
FrigBgxfxMxwPJNq-hAr0Q,Starbucks,51,3.0,$$,2,(212) 732-9268,https://www.yelp.com/biz/starbucks-new-york-295?adjust_creative=BN_4jH01DL6jwGlrQmsCjQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BN_4jH01DL6jwGlrQmsCjQ,https://s3-media4.fl.yelpcdn.com/bphoto/YUiI6Vx0m_5NTz6NRfgI9Q/o.jpg,115 Broadway,,,New York,NY,10006,US,40.708758,-74.011055
